dt,x,y,z,x_vel,y_vel,z_vel,Z_acc,X_acc
0.91,355.999725,13.180428,135.723724,0.001051,0.015406,-0.017677,9.803598,0.061004
0.92,355.999542,13.180422,135.723923,0.000894,0.015675,-0.017522,9.803617,0.060861
0.93,355.999359,13.180422,135.724152,0.000806,0.015879,-0.017761,9.803622,0.060719
0.94,355.999115,13.180417,135.724396,0.00075,0.016281,-0.017696,9.803622,0.060604
0.95,355.998779,13.180373,135.72467,0.000906,0.0184,-0.01724,9.803583,0.060816
0.96,355.997864,13.180131,135.724976,0.002958,0.041963,-0.017488,9.803204,0.064946
0.97,355.996582,13.179609,135.725327,-0.002035,0.084218,-0.01858,9.804127,0.072478
0.98,355.994476,13.179063,135.725845,-0.000298,0.135049,-0.022081,9.803837,0.081514
0.99,355.990997,13.178429,135.726501,0.014545,0.196199,-0.026418,9.801195,0.092366
1,355.987122,13.177612,135.727173,0.019961,0.256327,-0.032108,9.800296,0.102984
1.01,355.981628,13.176518,135.727982,0.021876,0.325828,-0.033853,9.800052,0.115211
1.02,355.975494,13.175559,135.72876,0.022184,0.398729,-0.032405,9.800102,0.127998
1.03,355.967712,13.174648,135.729874,0.014711,0.486995,-0.03164,9.801552,0.143444
1.04,355.95932,13.174093,135.730911,0.025513,0.559155,-0.033396,9.799707,0.155944
1.05,355.949158,13.173407,135.732208,0.048544,0.628372,-0.034829,9.795689,0.167818
1.06,355.937714,13.172491,135.733627,0.062135,0.700561,-0.041834,9.793366,0.180148
1.07,355.926086,13.1714,135.734879,0.064587,0.772294,-0.046261,9.793028,0.192357
1.08,355.912506,13.170224,135.736389,0.04979,0.845601,-0.049445,9.795742,0.204739
1.09,355.898499,13.169141,135.737869,0.038726,0.919624,-0.051143,9.797762,0.217214
1.1,355.88266,13.168097,135.739731,0.045986,0.989938,-0.053798,9.796546,0.228926
1.11,355.86673,13.167323,135.741562,0.0463,1.047743,-0.056448,9.796554,0.238418
1.12,355.848663,13.166195,135.743713,0.05325,1.112585,-0.060673,9.795407,0.249042
1.13,355.829437,13.164974,135.745956,0.050708,1.176679,-0.065424,9.795923,0.259473
1.14,355.810486,13.163814,135.748093,0.048531,1.240545,-0.068846,9.796361,0.26985
1.15,355.788971,13.162759,135.750641,0.056503,1.300829,-0.071085,9.795046,0.279501
1.16,355.768036,13.161404,135.753082,0.058103,1.358439,-0.07384,9.794848,0.288681
1.17,355.744904,13.159781,135.755814,0.050189,1.416735,-0.075566,9.796297,0.297876
1.18,355.720673,13.157972,135.758774,0.047149,1.47898,-0.07666,9.796903,0.307697
1.19,355.69693,13.156409,135.761627,0.047461,1.52989,-0.08125,9.796922,0.315573
1.2,355.670807,13.154602,135.76474,0.052884,1.589914,-0.084602,9.796082,0.324906
1.21,355.645264,13.152736,135.767883,0.056599,1.640481,-0.089511,9.795538,0.332631
1.22,355.61731,13.150854,135.771317,0.058106,1.6991,-0.092721,9.795374,0.341624
1.23,355.589996,13.149218,135.77478,0.062834,1.746431,-0.096816,9.794668,0.348711
1.24,355.560181,13.147317,135.778427,0.061469,1.805197,-0.097728,9.795002,0.357631
1.25,355.529358,13.145164,135.782303,0.056693,1.862612,-0.098984,9.795908,0.366272
1.26,355.499664,13.143469,135.786087,0.064483,1.912896,-0.100925,9.794688,0.37373
1.27,355.467163,13.141512,135.790268,0.069596,1.965192,-0.106501,9.793929,0.38142
1.28,355.435577,13.139644,135.794388,0.07017,2.018629,-0.111023,9.793929,0.389322
1.29,355.401428,13.137795,135.798935,0.06933,2.070301,-0.113965,9.794171,0.396821
1.3,355.36618,13.13594,135.803436,0.078008,2.121318,-0.118704,9.792836,0.404169
